County,ShortName,CD,Biden,Trump,Total,
Lake (pt.),Lake,6,0,0,0,0
Lake (pt.),Lake,11,0,0,0,0
Lake (pt.),Lake,15,0,0,0,0
Lee (pt.),Lee,17,0,0,0,0
Lee (pt.),Lee,19,0,0,0,0
Leon (pt.),Leon,2,0,0,0,0
Leon (pt.),Leon,5,0,0,0,0
Marion (pt.),Marion,2,0,0,0,0
Marion (pt.),Marion,3,0,0,0,0
Marion (pt.),Marion,11,0,0,0,0
Miami-Dade (pt.),MiamiDade,23,0,0,0,0
Miami-Dade (pt.),MiamiDade,24,1,0,1,0
Miami-Dade (pt.),MiamiDade,25,0,0,0,0
Miami-Dade (pt.),MiamiDade,26,0,0,0,0
Miami-Dade (pt.),MiamiDade,27,1,0,1,0
Orange (pt.),Orange,7,0,0,0,0
Orange (pt.),Orange,8,0,0,0,0
Orange (pt.),Orange,9,0,0,0,0
Orange (pt.),Orange,10,0,0,0,0
Palm Beach (pt.),PalmBeach,18,0,0,0,0
Palm Beach (pt.),PalmBeach,20,0,0,0,0
Palm Beach (pt.),PalmBeach,21,0,0,0,0
Palm Beach (pt.),PalmBeach,22,0,0,0,0
Pinellas (pt.),Pinellas,12,0,0,0,0
Pinellas (pt.),Pinellas,13,0,0,0,0
Polk (pt.),Polk,9,0,0,0,0
Polk (pt.),Polk,15,0,0,0,0
Polk (pt.),Polk,17,0,0,0,0
Sarasota (pt.),Sarasota,16,0,0,0,0
Sarasota (pt.),Sarasota,17,0,0,0,0
St. Johns (pt.),St.Johns,4,0,0,0,0
St. Johns (pt.),St.Johns,6,0,0,0,0
,,,,,,
Broward (pt.),Broward,EV,0,0,0,0
Collier (pt.),Collier,EV,0,0,0,0
Columbia (pt.),Columbia,EV,0,0,0,0
Duval (pt.),Duval,EV,0,0,0,0
Hillsborough (pt.),Hillsborough,EV,0,0,0,0
Holmes (pt.),Holmes,EV,0,0,0,0
Jefferson (pt.),Jefferson,EV,0,0,0,0
Lake (pt.),Lake,EV,0,0,0,0
Lee (pt.),Lee,EV,0,0,0,0
Leon (pt.),Leon,EV,0,0,0,0
Marion (pt.),Marion,EV,0,0,0,0
Miami-Dade (pt.),MiamiDade,EV,2,0,2,0
Orange (pt.),Orange,EV,0,0,0,0
Palm Beach (pt.),PalmBeach,EV,0,0,0,0
Pinellas (pt.),Pinellas,EV,0,0,0,0
Polk (pt.),Polk,EV,0,0,0,0
Sarasota (pt.),Sarasota,EV,0,0,0,0
St. Johns (pt.),St.Johns,EV,0,0,0,0
