Line,State_Abbreviation,CD,Voting_Age_Population,Voting_Age_Population_Error,Voting_Rate,Voting_Rate_Error
104,FL,16,638769,8875,56.6630503358804,0.787271410683578
105,FL,17,615104,10351,50.4825200291333,0.849522300003834
106,FL,18,599873,10324,57.0719135550358,0.982225296924832
107,FL,19,631233,11072,53.8005775997136,0.943676891391972
108,FL,20,507613,13423,39.9564234958522,1.05658261822456
109,FL,21,546101,11927,0,0
110,FL,22,534846,11346,55.657703338905,1.18069930799373
111,FL,23,510212,9952,54.1668953297845,1.05655872915967
112,FL,24,477697,12311,0,0
113,FL,25,453055,14226,46.979947247023,1.47517791335743
114,FL,26,476033,12380,49.4661084420618,1.28644531474231
115,FL,27,464604,13439,54.3658685676404,1.57257128152259
116,GA,1,550713,4548,45.5197171666549,0.375919351230035
117,GA,2,498322,5387,45.9885375319572,0.497148935195825
118,GA,3,548941,6659,53.3765923842453,0.647491677041229
119,GA,4,527938,10870,54.7050979471074,1.12635274347567
120,GA,5,587385,11293,46.886794861973,0.901440408550203
121,GA,6,496468,9646,63.8574893044466,1.24070300972206
122,GA,7,486845,13303,57.603754788485,1.57401791114465
123,GA,8,527338,5981,37.6828523641384,0.427394081196333
124,GA,9,556967,6033,50.735142297479,0.549556999751675
125,GA,10,565803,9414,53.5053720111064,0.890238425940752
126,GA,11,559687,9450,55.4845833474781,0.936825962785751
127,GA,12,540482,5219,46.3460392760536,0.447526428228366
128,GA,13,523476,12223,55.9739128441418,1.30697326466533
129,GA,14,516434,4331,44.4827412602579,0.373048157941144
130,HI,1,509992,8672,37.5823542330076,0.639057428172681
131,HI,2,506514,7345,40.8656029250919,0.592595374431506
132,ID,1,661724,6207,47.6133554170621,0.446615351829017
133,ID,2,590690,6236,47.5130779258156,0.501602454663844
134,IL,1,524114,13385,49.2039899716474,1.25658808154428
135,IL,2,497132,10186,47.3216369093118,0.96959800125168
136,IL,3,479004,11273,46.624662842064,1.09727648248989
137,IL,4,410804,10402,40.4545720100096,1.02435336084391
138,IL,5,545831,13594,51.138722425073,1.27361727832688
139,IL,6,523796,7397,60.2230639409236,0.850464692305805
140,IL,7,522767,13446,47.1037766347149,1.21154812876554
141,IL,8,442009,9089,44.5979606750089,0.917064730752441
142,IL,9,498242,10167,58.2750952348457,1.1891468267482
143,IL,10,468255,7926,50.9688097297413,0.862732455431185
144,IL,11,472244,8696,48.2303639643913,0.888124031293879
145,IL,12,528398,3128,49.4973485895102,0.293013422435338
146,IL,13,539012,6187,50.2736488241449,0.577061485226645
147,IL,14,525729,7412,56.5308362293121,0.797001036906203
148,IL,15,532371,4362,48.0131336981165,0.393397253402579
149,IL,16,520730,4681,49.1281470243696,0.441627822904527
150,IL,17,512994,5263,44.7859039287009,0.459475573548137
151,IL,18,531334,6741,54.8455397170142,0.695821805554307
152,IN,1,537218,2969,45.6442263662052,0.252258316142168
153,IN,2,522778,3982,43.7832119943838,0.333496723583694
154,IN,3,540022,2746,45.467962416346,0.231203589474662
155,IN,4,567094,4245,43.0903871315867,0.322554450185658
156,IN,5,573500,6937,55.3054925893636,0.66896983799898
157,IN,6,549035,2722,44.0274299452676,0.218278733252012
158,IN,7,521076,6956,41.7589756580614,0.557453106029591
159,IN,8,549149,2287,44.4853764643112,0.18526493897627
160,IN,9,575308,3657,47.1679517753968,0.299827570001853
161,IA,1,580187,2876,57.609529341402,0.285571731848304
162,IA,2,581525,2670,53.8090365848416,0.247057525783977
163,IA,3,601044,3898,59.2703695569709,0.384390993892415
164,IA,4,564463,2859,55.4589051895341,0.28089885419749
165,KS,1,502712,3509,44.6856251690829,0.31191190725169
166,KS,2,538594,2980,49.1442533708136,0.27191144915284
167,KS,3,534532,3744,59.5476042594269,0.417086779364555
168,KS,4,515676,3192,47.0630783670367,0.291317311931486
169,KY,1,552530,3169,45.4302933777352,0.260562502875939
170,KY,2,577362,4615,44.5725558661637,0.356279674315846
171,KY,3,553926,3786,50.3171903828309,0.343910346850297
172,KY,4,565232,4216,46.3193874373709,0.345490944313053
173,KY,5,537877,3689,40.5328727571545,0.277992491965901
174,KY,6,581992,4750,52.043327056042,0.424758078317571
175,LA,1,594231,7375,45.3232833695987,0.562507198127984
176,LA,2,587115,8471,40.1934884988461,0.579918825227979
177,LA,3,577604,2928,42.5798644053712,0.2158465713169
178,LA,4,559310,2947,38.7749190967442,0.204304744378082
179,LA,5,555804,4901,40.2922613007463,0.355291384435804
180,LA,6,585015,7251,45.9005324649795,0.568916627613936
181,ME,1,546625,3606,64.0225017150698,0.422346473696851
182,ME,2,524036,3159,53.6930668885344,0.323673179516064
183,MD,1,567926,5943,53.9130097935294,0.564166840755566
184,MD,2,560167,10243,45.219015043728,0.82685765333
185,MD,3,545892,12375,53.6516380529482,1.21624610894689
186,MD,4,503398,11202,53.3540061740412,1.18727443724768
187,MD,5,556897,9297,54.625720734714,0.911937621625966
188,MD,6,523698,8346,52.9091193779621,0.843194952679735
189,MD,7,528398,10931,50.0967074061597,1.03635348479126
190,MD,8,533774,9035,59.8249446394916,1.01263526289742
191,MA,1,568024,5218,48.425066546484,0.444843874976327
192,MA,2,558962,8532,52.4477513677137,0.800562855201845
193,MA,3,543580,9566,52.721402553442,0.927798919802469
194,MA,4,559943,7776,57.5285341543693,0.798906105772151
195,MA,5,535109,10214,60.5177636705793,1.15514491090843
196,MA,6,577241,6734,59.553115596432,0.694736999669762
197,MA,7,558430,11033,44.6564475404258,0.882285310089928
198,MA,8,561241,10353,58.3314476312315,1.07601810510305
199,MA,9,573274,7656,57.8030749693864,0.77195257759051
200,MI,1,564858,1561,58.863820641648,0.162671722842931
201,MI,2,551323,4776,55.4054519764276,0.479966260503223
202,MI,3,551028,4362,56.3927785883839,0.446411616474173
203,MI,4,554938,2626,51.3660985551539,0.243067468448429
204,MI,5,520558,2700,53.0993664490797,0.275412709846962
205,MI,6,541981,3071,54.1417503565623,0.306780708816366
206,MI,7,548462,2889,53.7977106891635,0.283377127642377
207,MI,8,554462,5219,61.6080092053197,0.579899434122742
208,MI,9,552114,6344,55.1630641497952,0.633844602684048
209,MI,10,553804,5635,54.7240539974431,0.556821626921424
210,MI,11,534817,6785,65.6114147456046,0.832384626982551
211,MI,12,526943,7440,55.912688848699,0.789440992734168
212,MI,13,474739,8475,41.3488253545633,0.73815569161144
213,MI,14,512851,9342,51.6707581734266,0.941225078738564
214,MN,1,500330,2914,58.2937261407471,0.33951175818787
215,MN,2,511914,3848,66.0204643748755,0.496268410151941
216,MN,3,517834,7590,70.2829478172542,1.03015169713259
217,MN,4,510862,5084,64.3253951164894,0.640153913918499
218,MN,5,517155,6617,66.3936344036121,0.849506780073094
219,MN,6,525551,4938,60.07523532445,0.564458086907139
220,MN,7,495727,2489,56.787102578637,0.285122856568691
221,MN,8,527541,1381,59.5614369309684,0.155920287525837
222,MS,1,577880,2748,40.9290856233128,0.194630593363438
223,MS,2,523479,4699,42.2899485939264,0.379614976804915
224,MS,3,559913,5338,45.9483884103423,0.438054657302844
225,MS,4,579386,3131,38.615361779539,0.208677285491428
226,MO,1,549361,6958,49.9443899366719,0.632576876005692
227,MO,2,575828,8830,65.3087380259383,1.00147293422521
228,MO,3,602748,6241,53.8546789039532,0.557624498197542
229,MO,4,584925,4248,50.1459161430953,0.364183188914594
230,MO,5,573775,5681,49.4592828199207,0.489700990283595
231,MO,6,583457,5275,52.344731488353,0.473245600962988
232,MO,7,595559,2710,49.7776038981864,0.226505361457194
233,MO,8,567717,3947,46.5723238867253,0.323789779733396
234,MT,At-large,823668,2462,61.2408154741959,0.183052987001401
235,NE,1,473676,3971,49.5657369172177,0.415527789666927
236,NE,2,467041,4132,53.204108418747,0.470706803013574
237,NE,3,439543,3065,48.5285853716246,0.338397185631507
238,NV,1,418811,10703,36.3412135784399,0.928724434004939
239,NV,2,531489,4280,54.1002730065909,0.435661261979475
240,NV,3,607915,11250,47.0736862883791,0.871139831628213
241,NV,4,516951,10773,45.4333195989562,0.946807631747603
242,NH,1,540224,4909,53.8737634758915,0.489549344166774
243,NH,2,529588,4458,52.8155849452782,0.444594435081706
244,NJ,1,542034,6191,48.5980584243793,0.555076950348746
245,NJ,2,531339,6456,48.6248891950337,0.590813557151155
246,NJ,3,570276,5881,53.8116631245222,0.554935488842797
247,NJ,4,539643,8273,54.5449491608341,0.836201645175756
248,NJ,5,527932,8667,57.1708098770296,0.938566726783403
249,NJ,6,502463,7651,44.0221469043492,0.670324871612786
250,NJ,7,527076,9094,61.2325357253982,1.05648650268039
251,NJ,8,425604,11139,36.0558171445757,0.943660649743491
252,NJ,9,481499,11594,41.6233470889867,1.00224732792739
253,NJ,10,496051,9959,40.3504881554518,0.810099186454909
254,NJ,11,548734,8988,58.9673685246404,0.96585724285258
255,NJ,12,505683,9993,49.9077485302057,0.986246583457117
256,NM,1,514775,6996,48.4021174299451,0.657804309727349
257,NM,2,484702,6155,41.1089700475756,0.522023244473569
258,NM,3,507907,5741,48.2161104296653,0.544998769413905
259,NY,1,530436,8854,51.7361189662843,0.863575619542191
260,NY,2,515987,10089,47.6612782880189,0.931912309123723
261,NY,3,521235,9204,52.400548696845,0.925292143094307
262,NY,4,506457,8321,52.7568974266325,0.866786604760145
263,NY,5,501784,12659,37.1325112000383,0.936778492899902
264,NY,6,448065,12825,33.3746219856494,0.955284449724825
265,NY,7,446196,14230,36.9422854530296,1.1781565096877
266,NY,8,540660,13211,37.8737099101099,0.92544220327463
267,NY,9,486880,12651,42.6889582648702,1.1092220074944
268,NY,10,473542,10788,45.6711337114765,1.04045721494484
269,NY,11,500998,8100,38.9422712266316,0.629608096111594
270,NY,12,530252,14243,48.3240044356268,1.29802206342764
271,NY,13,505003,13783,39.049272974616,1.06576818238532
272,NY,14,392398,12236,37.2764387178324,1.1623772398213
273,NY,15,410819,11144,32.5965936336927,0.88422502234286
274,NY,16,498243,10607,45.4272312907557,0.967091644641361
275,NY,17,502861,6893,51.1515110537504,0.701162678540395
276,NY,18,524373,5240,49.8349457351923,0.497994968567046
277,NY,19,553713,5607,53.0184409612922,0.53687451526326
278,NY,20,557251,5438,49.7201440643444,0.485199925028228
279,NY,21,551303,4192,43.3745145591444,0.329811310716491
280,NY,22,539437,3753,47.2900449913521,0.329008834864024
281,NY,23,544564,3340,45.1552067341947,0.276952553771844
282,NY,24,539797,2939,49.1214289816357,0.267448466325354
283,NY,25,543698,4648,50.6974460086298,0.433405546917795
284,NY,26,539694,5187,44.9089669331139,0.43162016157686
285,NY,27,564383,5939,51.9319327477971,0.546479515841489
286,NC,1,566173,6735,48.1610744419109,0.572907638418416
287,NC,2,601142,7863,55.1789760156502,0.721746756026126
288,NC,3,579504,4996,32.4244526353571,0.279536578464073
289,NC,4,624834,7413,54.6389921163061,0.648234328730794
290,NC,5,572721,3131,48.9566473029625,0.267640374118595
291,NC,6,567392,5676,50.1170266764424,0.501353990566464
292,NC,7,613510,5769,46.0158758618441,0.432699691687143
293,NC,8,581896,5618,43.9117986719276,0.423952879791044
294,NC,9,561804,6951,0,0
295,NC,10,585102,4892,47.5520507535438,0.397579622504002
296,NC,11,604505,5083,49.7375538663866,0.418219843182179
297,NC,12,591843,7234,47.1641972617738,0.576480254039791
298,NC,13,579274,7005,49.4266961748672,0.597703343676644
299,ND,At-large,567351,3196,56.6725007975662,0.319247366355258
300,OH,1,541695,5990,55.5425100840879,0.614182585040819
301,OH,2,557971,6728,51.9132714782668,0.625968895347212
302,OH,3,560963,8952,43.973844977298,0.701746568377542
303,OH,4,542874,4816,47.415238158394,0.420634966807815
304,OH,5,549171,4850,51.6445697241843,0.456098670837123
305,OH,6,545803,4800,45.7106318580147,0.401996751425827
306,OH,7,557024,7057,46.7938544838284,0.592836630185372
307,OH,8,546406,2927,47.79101986435,0.256008014448876
308,OH,9,545749,8394,42.4988410423107,0.65366179637371
309,OH,10,552514,2402,50.9898391714961,0.221673285545585
310,OH,11,524803,8831,47.7626842834359,0.803715422562414
311,OH,12,585940,7173,58.3075058879749,0.713792776964269
312,OH,13,559931,7719,44.8930314628052,0.618878593722072
313,OH,14,553668,6479,55.513051142562,0.649611424811727
314,OH,15,586092,6358,49.8971151286829,0.541290203565593
315,OH,16,553316,8332,54.1661546024333,0.815650370037148
316,OK,1,565812,2986,44.7447208613462,0.236134504909722
317,OK,2,564213,2174,38.2837687185513,0.147513285220529
318,OK,3,571661,2631,40.9447207348411,0.188443081220106
319,OK,4,589702,4619,40.1284038378707,0.314316548573898
320,OK,5,561277,5517,42.5743438622997,0.418479031010192
321,OR,1,606198,6201,59.922500569121,0.612967093307994
322,OR,2,619186,4754,59.5473734871266,0.457194144502298
323,OR,3,627716,5932,61.2260958777536,0.578594779720183
324,OR,4,638548,5000,58.3970194879633,0.457264132750892
325,OR,5,606523,6245,59.1022929056277,0.608540515686371
326,PA,1,544860,4939,60.5289432147708,0.548677551183337
327,PA,2,496510,12153,40.6803488348674,0.995726731365215
328,PA,3,564612,11678,54.5502043881462,1.12827443774622
329,PA,4,543723,4822,61.2427651579941,0.543130626425307
330,PA,5,519983,6115,58.6007619479868,0.689144951492528
331,PA,6,522912,4827,57.7206107337372,0.532818883505732
332,PA,7,552078,4662,47.6854719804086,0.402678009941828
333,PA,8,535133,5536,46.3746395755821,0.479749902716563
334,PA,9,555775,5005,44.78916827853,0.403346295234659
335,PA,10,552761,5816,52.6507839735437,0.553977143087393
336,PA,11,553568,5995,50.1445170241054,0.54305230714115
337,PA,12,551022,3977,44.2581239950492,0.319432906722981
338,PA,13,545111,3919,46.461362915076,0.334027530657394
339,PA,14,551164,2665,47.4336132258275,0.229352024527782
340,PA,15,548615,4573,44.3976194599127,0.370077948634618
341,PA,16,539710,2919,48.6179614978414,0.262948304852975
342,PA,17,559285,6462,58.2134332227755,0.672600204699885
343,PA,18,544390,6168,42.5195172578482,0.481750918360749
344,RI,1,395409,6058,44.0260590932427,0.674516427261049
345,RI,2,407668,6982,48.8625548240235,0.836853414497414
346,SC,1,613912,6942,46.8199025267465,0.529430542717318
347,SC,2,537342,7030,47.8538807686725,0.626068280171227
348,SC,3,534772,4868,42.2991480481401,0.385046810039318
349,SC,4,533533,6329,45.7235072619688,0.54239208720173
350,SC,5,552247,4381,45.0122861690512,0.357084467107315
351,SC,6,506843,10563,40.7291804365454,0.848827611215365
352,SC,7,571428,3454,41.9219919219919,0.253397733570214
353,SD,At-large,647089,2674,51.9194423023726,0.214549449483061
354,TN,1,563918,3157,39.7720945243812,0.222657376450958
355,TN,2,583056,3129,44.9586317609286,0.241272808752411
356,TN,3,571456,3926,43.0068106730877,0.295464110452147
357,TN,4,590540,4743,39.3624479290141,0.316144698965885
358,TN,5,563797,5435,46.5146143026657,0.448400627770258
359,TN,6,591603,3690,42.0450876685886,0.262247442114208
360,TN,7,578288,3700,43.9891541930664,0.281451232801555
361,TN,8,525277,4889,47.278864294458,0.440046618328244
362,TN,9,507231,5835,35.7777817207544,0.411574521944838
363,TX,1,511974,4743,45.4554332837214,0.421105603145259
364,TX,2,520180,17389,50.6347802683686,1.6926606061107
365,TX,3,563318,7999,55.449674961567,0.7873740054775
366,TX,4,543354,5315,45.8715680753248,0.448708179787672
367,TX,5,480610,7387,43.591893635172,0.670009609211243
368,TX,6,554709,11109,46.1578954010121,0.924391095168535
369,TX,7,448262,17967,54.3434420048989,2.17816505191611
370,TX,8,584039,8995,46.7725614214119,0.720361465562403
371,TX,9,445634,16319,34.3333318373374,1.25727759159649
372,TX,10,593629,15051,51.8551148949933,1.31474596807862
373,TX,11,542570,6851,40.6172475440957,0.512871634857437
374,TX,12,572411,11504,46.905283092044,0.942676462700532
375,TX,13,493390,5774,42.0124039806238,0.491658972788508
376,TX,14,532153,6811,44.0715358177066,0.564069413222136
377,TX,15,435170,10959,37.8707171909828,0.953708182310317
378,TX,16,458940,7531,39.6029982132741,0.649867476236909
379,TX,17,550601,9229,43.1076223980705,0.722556346813377
380,TX,18,480387,17751,38.3715629273898,1.41788519157283
381,TX,19,509891,4649,39.6133683473527,0.361180231553102
382,TX,20,549483,15793,31.2954176926311,0.899479204306089
383,TX,21,622228,13955,56.8307758570813,1.27457053858966
384,TX,22,577164,14484,51.5286816225544,1.29311846307302
385,TX,23,507547,12255,41.3890733271993,0.999361819939487
386,TX,24,503766,10913,52.2897535760651,1.13274433124823
387,TX,25,570238,11587,53.4080506735784,1.0852294711239
388,TX,26,605249,8073,51.632468620353,0.688689975815093
389,TX,27,517267,6497,40.0994070760362,0.503658357817156
390,TX,28,434305,11134,32.0571948285191,0.82182983668328
391,TX,29,369239,12870,31.8205823328522,1.10912144877385
392,TX,30,479082,11936,38.2343732388192,0.952583229965949
393,TX,31,602236,5813,47.4908507628239,0.458398892600733
394,TX,32,505867,10389,54.4846768024006,1.11895282218476
395,TX,33,360226,12748,33.0970002165307,1.17126625718392
396,TX,34,424863,9876,33.6739137086543,0.782754845177551
397,TX,35,532967,13421,36.4125733863447,0.916929467336876
398,TX,36,519385,9934,42.7343877855541,0.817357852578904
399,UT,1,521517,4200,48.7679212758165,0.392748979148195
400,UT,2,529608,7295,50.9894110360871,0.702345420590805
401,UT,3,517848,6002,49.9872549473977,0.579365961043165
402,UT,4,518368,8401,51.9459148712883,0.841868384687506
403,VT,At-large,500274,2062,55.6155226935639,0.229232796016041
404,VA,1,590281,8602,56.2615093489372,0.819883247842227
405,VA,2,559397,6204,48.874055456143,0.542038373552076
406,VA,3,559137,7090,38.9389362535479,0.493755659234954
407,VA,4,579606,9665,51.7341090326877,0.862672511673321
408,VA,5,578531,7084,53.7440517448503,0.658085500276597
409,VA,6,582756,4662,48.2838443533829,0.386266777820342
410,VA,7,588061,8567,59.4841351492447,0.86657776289123
411,VA,8,533417,10149,60.880699340291,1.15833994343002
412,VA,9,567315,4437,43.534896838617,0.340488683135372
413,VA,10,565197,8256,65.0737707383443,0.950551845136777
414,VA,11,509988,10817,60.44259864938,1.28200583070649
415,WA,1,519555,10068,64.0438452136925,1.24104942424085
416,WA,2,558321,7945,52.8070769324457,0.751453422365057
417,WA,3,544994,4118,56.3723637324448,0.425952201033787
418,WA,4,443137,5909,50.8501885421438,0.678060654144267
419,WA,5,551532,3876,58.0831211969568,0.40819059956522
420,WA,6,570991,6932,56.5833787222566,0.686938990811909
421,WA,7,600321,11081,65.7449930953607,1.21355119759211
422,WA,8,522952,10928,59.8634291483731,1.2509514328914
423,WA,9,499184,11809,48.1920494246611,1.14006040188753
424,WA,10,544552,6928,49.5958145411274,0.630977029082495
425,WV,1,486327,3632,40.7573505069634,0.30438510928098
426,WV,2,487208,3478,42.0337925485624,0.300063895674743
427,WV,3,457623,2050,38.2378071032269,0.171292755306475
428,WI,1,539789,5165,60.26743783219,0.576672211555369
429,WI,2,577976,3636,54.897608205185,0.345356387521372
430,WI,3,566700,2657,55.5830245279689,0.26060366361534
431,WI,4,493143,4985,55.3768379557248,0.559783951529857
432,WI,5,558805,5239,65.1905405284491,0.611185014143655
433,WI,6,556485,2532,58.4139734224642,0.26578287052783
434,WI,7,552651,2556,58.4166137399552,0.270175689032184
435,WI,8,556205,2262,59.1102201526416,0.240392153945533
436,WY,At-large,433644,2221,47.3372167031021,0.242447625927235
